rank,prev_rank,name,league,off,def,spi
534,535,IK Sirius,Swedish Allsvenskan,0.84,1.98,22.06
535,529,Ascoli,Italy Serie B,0.76,1.85,22.05
536,547,F.B.C Unione Venezia,Italy Serie B,0.7,1.75,22.04
537,536,Tromso,Norwegian Tippeligaen,1.0,2.23,22.0
538,537,Niort,French Ligue 2,0.58,1.57,21.77
539,542,Livorno,Italy Serie B,0.7,1.78,21.64
540,539,FC Cincinnati,Major League Soccer,0.85,2.03,21.63
541,540,San Antonio FC,United Soccer League,1.07,2.38,21.61
542,546,Ross County,Scottish Premiership,0.86,2.06,21.45
543,545,Salernitana,Italy Serie B,0.7,1.81,21.17
544,543,Mjondalen,Norwegian Tippeligaen,0.84,2.05,21.08
545,544,Östersunds FK,Swedish Allsvenskan,0.8,2.0,20.9
546,550,Bristol Rovers,English League One,0.76,1.95,20.61
547,538,Highlands Park FC,South African ABSA Premier League,0.56,1.61,20.49
548,548,Chambly Thelle FC,French Ligue 2,0.63,1.75,20.47
549,541,Jubilo Iwata,Japanese J League,0.61,1.73,20.35
550,549,Sacramento Republic FC,United Soccer League,0.75,1.96,20.27
551,551,LA Galaxy II,United Soccer League,0.97,2.34,20.0
552,552,Austin Bold FC,United Soccer League,0.78,2.05,19.79
553,553,Ranheim,Norwegian Tippeligaen,0.87,2.19,19.77
554,554,Fresno FC,United Soccer League,0.86,2.18,19.74
555,555,El Paso Locomotive FC,United Soccer League,0.6,1.76,19.57
556,556,Helsingborgs IF,Swedish Allsvenskan,0.67,1.9,19.47
557,565,Lincoln City,English League One,0.62,1.81,19.42
558,557,Lillestrom,Norwegian Tippeligaen,0.71,1.96,19.42
559,559,Bradford City,English League Two,0.67,1.91,19.2
560,568,Swindon Town,English League Two,0.71,1.98,19.17
561,561,Golden Arrows,South African ABSA Premier League,0.54,1.73,18.58
562,562,Gillingham,English League One,0.58,1.81,18.48
563,563,Maritzburg Utd,South African ABSA Premier League,0.4,1.48,18.46
564,558,St Mirren,Scottish Premiership,0.6,1.86,18.28
565,560,Pisa,Italy Serie B,0.65,1.95,18.25
566,575,Scunthorpe,English League Two,0.68,2.03,18.03
567,567,Hamilton Academical,Scottish Premiership,0.69,2.04,17.91
568,564,New Mexico United,United Soccer League,0.82,2.29,17.79
