rank,prev_rank,name,league,off,def,spi
212,225,Huddersfield Town,English League Championship,1.29,1.18,48.23
213,216,Atlanta United FC,Major League Soccer,1.47,1.38,47.92
214,213,Anderlecht,Belgian Jupiler League,1.31,1.21,47.82
215,214,Alanyaspor,Turkish Turkcell Super Lig,1.34,1.25,47.8
216,220,Sporting de Charleroi,Belgian Jupiler League,1.33,1.24,47.73
217,206,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.37,1.29,47.72
218,207,Swansea City,English League Championship,1.4,1.32,47.71
219,226,Fortaleza,Brasileiro Série A,1.31,1.22,47.7
220,218,Lorient,French Ligue 2,1.39,1.31,47.65
221,221,Kashima Antlers,Japanese J League,1.27,1.19,47.56
222,235,Heerenveen,Dutch Eredivisie,1.62,1.55,47.55
223,237,FC Ufa,Russian Premier Liga,1.0,0.9,47.42
224,222,CFR 1907 Cluj,UEFA Europa League,1.41,1.35,47.29
225,211,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.54,1.49,47.02
226,210,Necaxa,Mexican Primera Division Torneo Apertura,1.4,1.35,46.94
227,227,Querétaro,Mexican Primera Division Torneo Apertura,1.36,1.31,46.87
228,233,Blackburn,English League Championship,1.33,1.28,46.83
229,230,Pumas Unam,Mexican Primera Division Torneo Apertura,1.29,1.25,46.67
230,224,Boavista,Portuguese Liga,1.11,1.05,46.62
231,232,New York City FC,Major League Soccer,1.49,1.46,46.62
232,208,Gazovik Orenburg,Russian Premier Liga,1.34,1.3,46.62
233,234,Heracles,Dutch Eredivisie,1.62,1.6,46.53
234,240,Lanus,Argentina Primera Division,1.26,1.21,46.51
235,223,Birmingham,English League Championship,1.27,1.24,46.29
236,236,Derby County,English League Championship,1.3,1.28,46.15
237,246,Banfield,Argentina Primera Division,1.12,1.09,46.08
238,242,Aris Salonika,Greek Super League,1.38,1.37,45.99
239,228,AGF Aarhus,Danish SAS-Ligaen,1.38,1.37,45.98
240,229,CA Independiente,Argentina Primera Division,1.16,1.13,45.94
241,241,Philadelphia Union,Major League Soccer,1.5,1.51,45.79
242,267,FC Tambov,Russian Premier Liga,1.27,1.26,45.72
243,247,Newell's Old Boys,Argentina Primera Division,1.2,1.19,45.7
244,302,Servette,Swiss Raiffeisen Super League,1.35,1.36,45.59
245,239,Talleres de Córdoba,Argentina Primera Division,1.14,1.13,45.48
246,266,Middlesbrough,English League Championship,1.21,1.21,45.37
247,244,Slovan Bratislava,UEFA Europa League,1.24,1.25,45.34
248,245,Toronto FC,Major League Soccer,1.49,1.52,45.31
249,254,Morelia,Mexican Primera Division Torneo Apertura,1.39,1.42,45.3
250,248,PFC Oleksandriya,UEFA Europa League,1.31,1.33,45.21
251,238,Reading,English League Championship,1.26,1.27,45.13
252,259,Ural Sverdlovsk Oblast,Russian Premier Liga,1.28,1.3,45.06
253,250,Santa Clara,Portuguese Liga,1.25,1.28,44.97
254,252,Mouscron-Peruwelz,Belgian Jupiler League,1.29,1.32,44.89
255,249,Gil Vicente,Portuguese Liga,1.17,1.19,44.84
256,262,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.51,1.57,44.68
257,256,Guadalajara,Mexican Primera Division Torneo Apertura,1.25,1.31,44.3
258,243,FC Groningen,Dutch Eredivisie,1.11,1.15,44.24
259,258,Portimonense,Portuguese Liga,1.23,1.29,44.13
260,260,Lens,French Ligue 2,1.14,1.19,43.95
261,251,SV Zulte Waregem,Belgian Jupiler League,1.36,1.44,43.94
262,257,Famalicao,Portuguese Liga,1.39,1.47,43.93
263,274,Arsenal Sarandi,Argentina Primera Division,1.28,1.36,43.83
264,261,Los Angeles Galaxy,Major League Soccer,1.81,1.94,43.78
265,301,Willem II,Dutch Eredivisie,1.57,1.68,43.76
266,253,FC Nordsjaelland,Danish SAS-Ligaen,1.42,1.53,43.62
267,263,AaB,Danish SAS-Ligaen,1.26,1.35,43.59
268,279,Goztepe,Turkish Turkcell Super Lig,1.17,1.25,43.58
269,264,Chicago Fire,Major League Soccer,1.45,1.56,43.52
270,292,Rayo Vallecano,Spanish Segunda Division,1.27,1.37,43.39
271,276,Almeria,Spanish Segunda Division,1.17,1.26,43.38
272,269,Rosenborg,Norwegian Tippeligaen,1.51,1.63,43.38
273,265,FC Lugano,Swiss Raiffeisen Super League,1.12,1.2,43.35
274,288,Goiás,Brasileiro Série A,1.33,1.44,43.18
275,271,Seattle Sounders FC,Major League Soccer,1.39,1.51,43.13
276,255,Terek Grozny,Russian Premier Liga,0.98,1.06,42.99
277,281,Rosario Central,Argentina Primera Division,1.11,1.21,42.93
278,293,Estudiantes,Argentina Primera Division,1.03,1.12,42.64
279,272,Odense BK,Danish SAS-Ligaen,1.24,1.37,42.6
280,273,Sochi,Russian Premier Liga,1.18,1.31,42.53
281,270,Cadiz,Spanish Segunda Division,1.05,1.16,42.47
282,303,Cerezo Osaka,Japanese J League,0.96,1.06,42.37
283,275,Atlético Tucumán,Argentina Primera Division,1.1,1.23,42.35
284,268,Argentinos Juniors,Argentina Primera Division,1.0,1.1,42.34
285,278,Guingamp,French Ligue 2,1.34,1.5,42.24
286,285,Union Santa Fe,Argentina Primera Division,1.07,1.2,42.23
287,280,Atromitos,Greek Super League,1.21,1.37,42.02
288,284,New York Red Bulls,Major League Soccer,1.41,1.59,41.98
289,291,Rubin Kazan,Russian Premier Liga,0.88,0.98,41.96
290,286,Sydney FC,Australian A-League,1.41,1.6,41.87
291,304,Vitoria Setubal,Portuguese Liga,1.0,1.14,41.76
292,290,BK Hacken,Swedish Allsvenskan,1.15,1.31,41.67
293,294,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
294,297,Portland Timbers,Major League Soccer,1.44,1.66,41.32
295,298,Tondela,Portuguese Liga,1.18,1.36,41.31
296,300,Arminia Bielefeld,German 2. Bundesliga,1.26,1.45,41.27
297,277,Krylia Sovetov,Russian Premier Liga,1.09,1.26,41.21
298,289,Moreirense,Portuguese Liga,1.17,1.35,41.13
299,299,FC Dallas,Major League Soccer,1.37,1.6,40.98
300,282,Randers FC,Danish SAS-Ligaen,1.31,1.53,40.96
301,308,San Lorenzo,Argentina Primera Division,1.16,1.35,40.92
302,287,Pacos Ferreira,Portuguese Liga,1.12,1.32,40.66
303,310,Sanfrecce Hiroshima,Japanese J League,1.03,1.22,40.64
304,307,Tijuana,Mexican Primera Division Torneo Apertura,1.27,1.5,40.44
305,312,St. Truidense,Belgian Jupiler League,1.23,1.47,40.35
306,305,Wigan,English League Championship,1.17,1.4,40.3
307,313,Arizona United,United Soccer League,1.43,1.71,40.24
308,314,San Jose Earthquakes,Major League Soccer,1.4,1.68,40.13
309,319,Gimnasia La Plata,Argentina Primera Division,1.05,1.26,40.06
310,315,Chapecoense AF,Brasileiro Série A,1.05,1.27,39.91
311,306,Central Córdoba Santiago del Estero,Argentina Primera Division,1.1,1.34,39.83
312,311,OFI Crete,Greek Super League,1.17,1.43,39.71
313,324,Gamba Osaka,Japanese J League,1.33,1.62,39.58
314,316,Bodo/Glimt,Norwegian Tippeligaen,1.49,1.81,39.56
315,337,Vissel Kobe,Japanese J League,1.6,1.94,39.43
316,317,Puebla,Mexican Primera Division Torneo Apertura,1.17,1.44,39.42
317,295,Botafogo,Brasileiro Série A,1.03,1.27,39.41
318,296,FC Tokyo,Japanese J League,0.98,1.21,39.39
319,327,Belenenses,Portuguese Liga,1.08,1.34,39.17
320,320,Desportivo Aves,Portuguese Liga,1.12,1.4,39.06
321,325,KV Kortrijk,Belgian Jupiler League,1.26,1.57,38.98
322,321,Sparta,Dutch Eredivisie,1.27,1.58,38.96
323,322,ADO Den Haag,Dutch Eredivisie,1.36,1.7,38.88
324,342,Barnsley,English League Championship,1.24,1.55,38.72
325,351,Kaizer Chiefs,South African ABSA Premier League,1.11,1.4,38.7
326,326,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
327,318,Caykur Rizespor,Turkish Turkcell Super Lig,1.21,1.52,38.64
328,341,Hannover 96,German 2. Bundesliga,1.22,1.54,38.57
329,329,Henan Jianye,Chinese Super League,1.25,1.57,38.55
330,330,Minnesota United FC,Major League Soccer,1.25,1.58,38.54
331,309,SD Huesca,Spanish Segunda Division,1.01,1.29,38.46
332,333,FC Twente,Dutch Eredivisie,1.35,1.7,38.44
333,328,KV Mechelen,Belgian Jupiler League,1.22,1.55,38.26
334,334,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
335,353,Perth Glory,Australian A-League,1.23,1.57,38.13
336,336,Panathinaikos,Greek Super League,0.99,1.28,38.01
337,363,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.33,1.71,37.85
338,340,Kasimpasa,Turkish Turkcell Super Lig,1.35,1.75,37.64
339,338,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
340,339,New England Revolution,Major League Soccer,1.36,1.76,37.58
341,323,FC Sion,Swiss Raiffeisen Super League,1.34,1.73,37.55
342,331,Huracán,Argentina Primera Division,0.89,1.18,37.53
343,349,Maritimo,Portuguese Liga,1.06,1.4,37.48
344,343,Toluca,Mexican Primera Division Torneo Apertura,1.09,1.43,37.46
345,283,FC Zurich,Swiss Raiffeisen Super League,1.2,1.57,37.46
346,344,Troyes,French Ligue 2,0.95,1.26,37.45
347,332,Aberdeen,Scottish Premiership,1.19,1.56,37.39
348,346,Sporting Kansas City,Major League Soccer,1.37,1.78,37.38
349,347,Columbus Crew,Major League Soccer,1.12,1.47,37.36
350,366,Real Zaragoza,Spanish Segunda Division,1.13,1.49,37.35
351,348,Atlas,Mexican Primera Division Torneo Apertura,1.07,1.42,37.32
352,350,FC Luzern,Swiss Raiffeisen Super League,1.2,1.58,37.12
353,352,Hartberg,Austrian T-Mobile Bundesliga,1.49,1.94,37.09
354,354,Real Salt Lake,Major League Soccer,1.01,1.36,36.98
355,345,Konyaspor,Turkish Turkcell Super Lig,0.98,1.32,36.97
356,355,Le Havre,French Ligue 2,1.1,1.47,36.96
357,356,Colorado Rapids,Major League Soccer,1.36,1.79,36.83
358,367,Málaga,Spanish Segunda Division,0.85,1.17,36.75
359,358,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
360,361,Holstein Kiel,German 2. Bundesliga,1.3,1.73,36.57
361,365,IFK Goteborg,Swedish Allsvenskan,1.1,1.52,36.01
362,335,Charlton Athletic,English League Championship,1.12,1.55,35.88
363,362,Genclerbirligi,Turkish Turkcell Super Lig,1.23,1.69,35.86
364,359,Patronato,Argentina Primera Division,1.03,1.44,35.85
365,360,CSA,Brasileiro Série A,1.03,1.44,35.79
366,375,SV Sandhausen,German 2. Bundesliga,1.14,1.59,35.73
367,357,Oxford United,English League One,1.18,1.64,35.7
368,364,1. FC Nürnberg,German 2. Bundesliga,1.15,1.61,35.64
369,373,Mamelodi Sundowns,South African ABSA Premier League,1.0,1.42,35.49
370,372,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.13,1.58,35.48
371,371,Luton Town,English League Championship,1.18,1.64,35.48
372,368,Viking FK,Norwegian Tippeligaen,1.31,1.81,35.41
373,383,Denizlispor,Turkish Turkcell Super Lig,0.98,1.41,35.11
374,385,1. FC Heidenheim 1846,German 2. Bundesliga,1.09,1.56,35.08
375,379,Elche,Spanish Segunda Division,1.03,1.48,35.06
376,374,DC United,Major League Soccer,1.14,1.62,35.05
377,377,Houston Dynamo,Major League Soccer,1.23,1.74,34.92
378,381,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
379,393,Frosinone,Italy Serie B,1.02,1.49,34.77
380,382,F91 Dudelange,UEFA Europa League,1.39,1.96,34.72
381,386,Larissa,Greek Super League,0.92,1.36,34.68
382,399,Benevento,Italy Serie B,0.95,1.4,34.65
383,384,Caen,French Ligue 2,1.04,1.52,34.62
384,376,Asteras Tripolis,Greek Super League,0.86,1.29,34.44
385,378,Jahn Regensburg,German 2. Bundesliga,1.27,1.82,34.42
386,406,Las Palmas,Spanish Segunda Division,1.01,1.49,34.33
387,389,Fuenlabrada,Spanish Segunda Division,0.99,1.47,34.11
388,387,Real Monarchs SLC,United Soccer League,1.46,2.08,34.09
389,369,Melbourne City,Australian A-League,1.18,1.73,34.02
390,420,Motherwell,Scottish Premiership,1.15,1.69,33.92
391,390,Haugesund,Norwegian Tippeligaen,1.1,1.63,33.89
392,370,PEC Zwolle,Dutch Eredivisie,1.29,1.88,33.81
393,392,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
394,394,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.0,1.51,33.68
395,395,Orlando City SC,Major League Soccer,1.22,1.79,33.65
396,397,FC Juárez,Mexican Primera Division Torneo Apertura,0.98,1.5,33.51
397,398,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
398,401,Sporting Gijón,Spanish Segunda Division,0.81,1.27,33.49
399,396,Consadole Sapporo,Japanese J League,1.15,1.72,33.38
400,391,Crotone,Italy Serie B,1.0,1.53,33.36
401,416,Hibernian,Scottish Premiership,1.16,1.73,33.34
402,409,Lamia,Greek Super League,0.86,1.35,33.14
403,405,Bidvest Wits,South African ABSA Premier League,0.99,1.53,32.95
404,431,Aldosivi,Argentina Primera Division,0.87,1.37,32.87
405,402,Ipswich Town,English League One,0.97,1.52,32.83
406,407,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
407,380,Colon Santa Fe,Argentina Primera Division,0.93,1.47,32.48
408,408,Avaí,Brasileiro Série A,0.87,1.4,32.37
409,436,Real Oviedo,Spanish Segunda Division,1.02,1.6,32.34
410,411,Neuchatel Xamax,Swiss Raiffeisen Super League,1.11,1.74,32.25
411,400,VfL Bochum,German 2. Bundesliga,1.17,1.81,32.2
412,417,VfL Osnabruck,German 2. Bundesliga,1.02,1.61,32.15
413,425,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.17,1.82,32.11
414,414,Pittsburgh Riverhounds,United Soccer League,0.97,1.56,31.99
415,415,Nashville SC,United Soccer League,0.94,1.52,31.95
416,410,Chievo Verona,Italy Serie B,0.95,1.54,31.85
417,418,Montreal Impact,Major League Soccer,1.11,1.76,31.83
418,403,Sunderland,English League One,1.0,1.62,31.75
419,412,Orlando Pirates,South African ABSA Premier League,1.02,1.64,31.73
420,419,Louisville City FC,United Soccer League,1.17,1.84,31.7
421,404,Emmen,Dutch Eredivisie,1.14,1.8,31.63
422,413,Karlsruher SC,German 2. Bundesliga,1.14,1.81,31.6
423,428,Peterborough United,English League One,1.22,1.93,31.26
424,426,AC Ajaccio,French Ligue 2,0.72,1.26,31.18
425,421,Esbjerg,Danish SAS-Ligaen,0.98,1.63,30.98
426,422,KV Oostende,Belgian Jupiler League,1.04,1.71,30.95
427,423,SD Ponferradina,Spanish Segunda Division,0.91,1.54,30.86
428,429,Clermont Foot,French Ligue 2,0.85,1.46,30.83
429,437,Eupen,Belgian Jupiler League,0.95,1.59,30.82
430,433,FC St. Pauli,German 2. Bundesliga,0.98,1.63,30.76
431,388,Kilmarnock,Scottish Premiership,0.84,1.46,30.61
432,434,Stabaek,Norwegian Tippeligaen,0.95,1.61,30.54
433,435,AS Nancy Lorraine,French Ligue 2,0.8,1.41,30.52
434,438,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,0.98,1.67,30.3
435,449,Empoli,Italy Serie B,1.04,1.74,30.24
436,457,SpVgg Greuther Fürth,German 2. Bundesliga,0.96,1.64,30.21
437,441,Kristiansund BK,Norwegian Tippeligaen,1.08,1.81,30.19
438,424,Numancia,Spanish Segunda Division,0.77,1.38,30.18
